song_title,artist,youtube_url,start_time,amp_model,gain,volume,treble,middle,bass,stomp_fx,mod_fx,delay_fx,reverb_fx,spectral_centroid,spectral_rolloff,spectral_flatness,mfccs,active_rms,crest_factor,rms_frames,stomp_score,mod_score,reverb_score,delay_score,delay_time_ms
Coffee & TV,Blur,https://www.youtube.com/watch?v=cHrNTR05voQ,30,60s Uk Cln,4.5,7.0,5.0,8.5,6.5,"{""type"": ""Rock Dirt"", ""settings"": {""level"": 2.5, ""distort"": 5.0, ""filter"": 5.0}}","{""type"": ""Flanger"", ""settings"": {""level"": 6.5, ""speed"": 3.0, ""depth"": 6.5, ""feedback"": 7.5}}",,"{""type"": ""Arena"", ""settings"": {""level"": 3.0, ""decay"": 5.5, ""tone"": 5.5}}",1999.3881275658125,4072.235593370571,0.011718161,"[-190.9027099609375, 103.97416687011719, -36.922645568847656, 57.104434967041016]",0.06254664063453674,5.1921287058095045,[0.03527807 0.04648924 0.05191636 ... 0.06444497 0.05674274 0.04668494],0.00225690845400095,0.24610865116119385,1.0,0.9533842206001282,92.87981859410431
Apache,The Shadows,https://www.youtube.com/watch?v=Px_krd_edFI,20,Twin Clean,4.0,7.0,7.0,8.0,6.5,"{""type"": ""Compressor"", ""settings"": {""type"": ""mid""}}","{""type"": ""Tremolo"", ""settings"": {""level"": 8.0, ""speed"": 5.5}}","{""type"": ""Echo"", ""settings"": {""level"": 4.0, ""time"": 299, ""feedback"": 1.0, ""wow"": 5.5}}","{""type"": ""Plate"", ""settings"": {""level"": 9.5, ""decay"": 3.5, ""tone"": 1.5}}",1554.811032121556,2718.9291119852087,0.002924374,"[-163.19931030273438, 134.37770080566406, -29.60954475402832, 12.490396499633789]",0.09762243181467056,8.701078365763305,[0.10430142 0.12489568 0.1447665  ... 0.1056848  0.08652403 0.06880213],0.0003360932460054755,0.2182650864124298,0.0,0.9703355431556702,92.87981859410431
Motorcycle Emptiness,Manic Street Preachers,https://www.youtube.com/watch?v=gavcjNniIvk,0,70s Uk Cln,5.0,8.0,4.0,7.0,3.0,"{""type"": ""Rock Dirt"", ""settings"": {""level"": 6.0, ""distort"": 5.0, ""filter"": 5.0}}","{""type"": ""Chorus"", ""settings"": {""level"": 7.0, ""speed"": 4.5, ""depth"": 3.5}}",,"{""type"": ""Small Room"", ""settings"": {""level"": 3.5, ""decay"": 5.5, ""tone"": 5.5}}",2348.429237464905,4006.744867369186,0.0029307632,"[-235.08059692382812, 108.03417205810547, -80.64653778076172, 79.41793823242188]",0.03623393177986145,6.512302905616745,[0.0004367  0.00059707 0.00229411 ... 0.0413764  0.03343417 0.02913077],0.00045003477134741843,0.04762192443013191,0.0,0.9908435344696045,92.87981859410431
One,Metallica,https://www.youtube.com/watch?v=WM8bTdBs-cw,250,70s Uk Cln,10.0,5.5,10.0,1.0,5.0,"{""type"": ""Myth Drive"", ""settings"": {""level"": 4.0, ""gain"": 5.0, ""treble"": 5.0}}",,,"{""type"": ""Plate"", ""settings"": {""level"": 4.7, ""decay"": 7.0, ""tone"": 5.5}}",2454.2732153297593,4050.130615234375,0.003257475,"[-160.37399291992188, 82.54066467285156, -80.30631256103516, 96.0833969116211]",0.0868089348077774,5.5071155889633765,[0.06497674 0.07681053 0.0884231  ... 0.17235203 0.14170419 0.11365553],0.0005915028159506619,0.29229599237442017,1.0,0.946133553981781,92.87981859410431
Voodoo Child (Slight Return),Jimi Hendrix,https://www.youtube.com/watch?v=C0XwPUFfFwE,46,60s Uk Cln,6.5,8.0,3.5,5.5,4.6,"{""type"": ""Fuzz"", ""settings"": {""level"": 5.0, ""gain"": 5.0, ""vari"": ""loose""}}","{""type"": ""Touch Wah"", ""settings"": {""level"": 5.0, ""thresh"": 5.5, ""mode"": ""HI-UP"", ""filter"": ""BPF"", ""peak"": 5.0}}",,"{""type"": ""Spring 65"", ""settings"": {""level"": 5.5, ""decay"": 5.5, ""tone"": 5.5}}",1502.0456062563792,2935.65407544957,0.0019104871,"[-90.63107299804688, 159.5409698486328, -57.86380386352539, 35.612327575683594]",0.1933387666940689,4.4355099339499215,[0.12866631 0.15037525 0.1685565  ... 0.23752737 0.20901926 0.17336081],0.0004307253402657807,0.49857428669929504,1.0,0.9814825654029846,92.87981859410431
Where Is My Mind?,Pixies,https://www.youtube.com/watch?v=tPgf_btTFlc,10,Super Clean,4.5,9.5,6.5,5.5,4.0,"{""type"": ""Myth Drive"", ""settings"": {""level"": 6.0, ""gain"": 5.0, ""treble"": 5.0}}","{""type"": ""Chorus"", ""settings"": {""level"": 3.5, ""speed"": 5.0, ""depth"": 6.0}}",,"{""type"": ""Plate"", ""settings"": {""level"": 3.5, ""decay"": 7.0, ""tone"": 4.5}}",1196.0532969591832,2178.3368278952207,0.0002481649,"[-339.24261474609375, 194.5424041748047, -71.18538665771484, 18.21591567993164]",0.023142896592617035,9.666992527567192,[0.03244883 0.03693165 0.04013181 ... 0.00922402 0.00773247 0.00615184],2.567136471043341e-05,0.04438580200076103,0.0,0.9710848927497864,92.87981859410431
Spellbound,Siouxsie and the Banshees,https://www.youtube.com/watch?v=TjvvK-Rj0WI,0,50s Twin,3.0,6.0,10.0,8.0,7.0,"{""type"": ""Myth Drive"", ""settings"": {""level"": 5.0, ""gain"": 5.0, ""treble"": 5.0}}","{""type"": ""Chorus"", ""settings"": {""level"": 8.5, ""speed"": 4.5, ""depth"": 6.0}}","{""type"": ""Echo"", ""settings"": {""level"": 2.5, ""time"": 125, ""feedback"": 3.5, ""wow"": 10.0}}","{""type"": ""Arena"", ""settings"": {""level"": 2.5, ""decay"": 5.5, ""tone"": 5.5}}",1688.5372095996197,2713.3042762334867,0.00043794507,"[-343.9986877441406, 141.2760467529297, -101.06526947021484, 33.4268913269043]",0.021820928901433945,6.952682402735359,"[1.0683100e-05 1.3154377e-05 1.5315498e-05 ... 3.5165794e-02 3.2428499e-02
 2.9242771e-02]",6.298935477389023e-05,0.0534871406853199,1.0,0.9763384461402893,92.87981859410431
Creep,Radiohead,https://www.youtube.com/watch?v=XFkzRNyygfk,123,90s Rock,5.0,7.5,6.0,7.5,3.0,"{""type"": ""Blues Drive"", ""settings"": {""level"": 3.0, ""gain"": 9.5, ""tone"": 5.0, ""blend"": 5.0}}","{""type"": ""Chorus"", ""settings"": {""level"": 10.0, ""speed"": 2.0, ""depth"": 2.0}}","{""type"": ""Echo"", ""settings"": {""level"": 6.0, ""time"": 42, ""feedback"": 5.0, ""wow"": 4.5}}","{""type"": ""Spring 65"", ""settings"": {""level"": 9.5, ""decay"": 5.5, ""tone"": 5.0}}",2188.581516373114,3397.213134765625,0.0012145648,"[-120.13911437988281, 138.19032287597656, -121.17589569091797, 94.67276763916016]",0.11904437094926834,5.205406688699706,[0.00033428 0.00060259 0.00061459 ... 0.13969235 0.12163273 0.10571422],0.000233327504247427,0.09856291860342026,0.0,0.9906463027000427,92.87981859410431
This Charming Man,The Smiths,https://www.youtube.com/watch?v=cJRP3LRcUFg,60,Super Clean,5.5,7.0,4.5,7.5,3.5,"{""type"": ""Compressor"", ""settings"": {""type"": ""mid""}}","{""type"": ""Chorus"", ""settings"": {""level"": 10.0, ""speed"": 4.0, ""depth"": 4.0}}",,"{""type"": ""Spring 65"", ""settings"": {""level"": 4.0, ""decay"": 4.0, ""tone"": 5.5}}",2196.7550710747805,3168.0108689169847,0.00034474663,"[-201.07199096679688, 129.9347381591797, -120.90573120117188, 77.60449981689453]",0.09258896112442017,6.658267134557176,[0.09227322 0.10683805 0.12570891 ... 0.00020031 0.00019761 0.00019445],5.17772241437342e-05,0.1768970787525177,1.0,0.965636670589447,92.87981859410431
Flip the Switch,The Rolling Stones,https://www.youtube.com/watch?v=dbm1dWfZej8,60,80s Rock,7.0,10.0,8.0,4.5,9.5,"{""type"": ""Big Fuzz"", ""settings"": {""level"": 7.5, ""tone"": 5.0, ""sustain"": 5.0}}","{""type"": ""Phaser"", ""settings"": {""level"": 2.0, ""speed"": 4.0, ""depth"": 6.5}}",,"{""type"": ""Plate"", ""settings"": {""level"": 10.0, ""decay"": 5.5, ""tone"": 4.5}}",1675.1343458899798,2886.3832693890395,0.00074218155,"[-180.22471618652344, 155.83811950683594, -99.65049743652344, 50.68035888671875]",0.08227498829364777,7.302487899011628,[0.05689111 0.06974243 0.0788817  ... 0.03886484 0.03362982 0.02735061],0.00010163405386265367,0.11214622855186462,1.0,0.9797477126121521,92.87981859410431
Smells Like Teen Spirit,Nirvana,https://www.youtube.com/watch?v=hTWKbfoikeg,60,60s Uk Cln,3.0,8.0,10.0,10.0,5.0,"{""type"": ""Fuzz"", ""settings"": {""level"": 5.5, ""gain"": 10.0, ""vari"": ""tight""}}","{""type"": ""Chorus"", ""settings"": {""level"": 9.5, ""speed"": 3.0, ""depth"": 8.0}}",,,2515.6991579999267,4123.52513005728,0.0039017692,"[-130.8560791015625, 105.35742950439453, -95.34707641601562, 97.75541687011719]",0.08514232933521271,8.419456208228732,[0.06139884 0.07739852 0.09082305 ... 0.14242974 0.1242165  0.11030532],0.0004634228826034814,0.09428887069225311,0.0,0.9850895404815674,92.87981859410431
Come as You Are,Nirvana,https://www.youtube.com/watch?v=vabnZ9-ex7o,0,60s Uk Cln,3.0,8.0,10.0,10.0,5.0,,"{""type"": ""Chorus"", ""settings"": {""level"": 9.5, ""speed"": 3.0, ""depth"": 8.0}}",,,617.5418928659191,1044.278163764313,2.8512948e-05,"[-348.1055603027344, 201.8819580078125, 4.304610729217529, 18.214750289916992]",0.05762210115790367,5.687108707880245,"[8.64163012e-05 1.05870145e-04 1.22252706e-04 ... 1.64780562e-04
 1.45609956e-04 1.23016303e-04]",5.013610007154057e-06,0.13282188773155212,1.0,0.9450294971466064,92.87981859410431
Paperback Writer,The Beatles,https://www.youtube.com/watch?v=yYvkICbTZIQ,80,70s Uk Cln,7.0,6.0,6.0,6.0,4.5,"{""type"": ""Compressor"", ""settings"": {""type"": ""mid""}}",,"{""type"": ""Echo"", ""settings"": {""level"": 2.0, ""time"": 145, ""feedback"": 2.5, ""wow"": 8.0}}",,1367.326510319885,2595.5387766768295,0.00047362378,"[-150.16354370117188, 177.0061492919922, -80.60078430175781, 41.79737854003906]",0.13659149408340454,5.132120175557204,[0.08198041 0.10173222 0.11811333 ... 0.14859834 0.1321383  0.10832072],9.228616545442492e-05,0.20064884424209595,1.0,0.9824889898300171,92.87981859410431
